Timestamp,Type,Sender,Receiver,Message
2026-07-10 19:24:50,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:40:02,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:46:00,SYSTEM,SERVER,ALL,kunk joined the chat
2026-07-10 19:47:13,SYSTEM,SERVER,ALL,kunk left the chat
2026-07-10 19:47:27,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:47:39,BROADCAST,kunal,ALL,heey
2026-07-10 19:47:51,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 19:50:05,PRIVATE,deepak,kunal,hi
2026-07-10 19:50:16,PRIVATE,kunal,deepak,how are you
2026-07-10 19:50:42,BROADCAST,deepak,ALL,hey everyone
2026-07-10 19:52:25,PRIVATE,deepak,kunal,hello
2026-07-10 19:53:24,PRIVATE,deepak,kunal,hi
2026-07-10 19:53:45,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 19:53:54,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 19:54:32,PRIVATE,kunal,deepak,hi
2026-07-10 19:54:55,BROADCAST,deepak,ALL,hey everyone
2026-07-10 19:55:05,BROADCAST,deepak,ALL,how are you doing?
2026-07-10 19:55:35,BROADCAST,deepak,ALL,hello
2026-07-10 19:55:40,BROADCAST,kunal,ALL,hiii
2026-07-10 19:55:46,BROADCAST,kunal,ALL,hello
2026-07-10 19:55:52,BROADCAST,kunal,ALL,hello
2026-07-10 19:56:01,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 20:07:24,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 20:38:12,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 20:39:28,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 20:39:32,BROADCAST,kunal,ALL,hii
2026-07-10 20:39:39,BROADCAST,kunal,ALL,hello
2026-07-10 20:39:44,BROADCAST,kunal,ALL,hello
2026-07-10 20:40:02,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 20:40:25,PRIVATE,kunal,deepak,hi
2026-07-10 20:40:44,BROADCAST,deepak,ALL,heyy deepak
2026-07-10 20:42:06,PRIVATE,kunal,deepak,hi
2026-07-10 20:42:08,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 20:42:47,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 20:42:53,BROADCAST,kunal,ALL,heyyy
2026-07-10 20:43:03,BROADCAST,kunal,ALL,hello
2026-07-10 20:43:20,BROADCAST,kunal,ALL,Type a message...
2026-07-10 20:43:45,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 20:43:55,SYSTEM,SERVER,ALL,Deepak joined the chat
2026-07-10 20:44:07,SYSTEM,SERVER,ALL,Kunal joined the chat
2026-07-10 20:44:18,BROADCAST,Kunal,ALL,hey everyone
2026-07-10 20:44:39,PRIVATE,Deepak,Kunal,hii kunal
2026-07-10 20:45:13,PRIVATE,Kunal,Deepak,hi deepaak how are you
2026-07-10 20:45:39,BROADCAST,Deepak,ALL,good morning guys
2026-07-10 21:02:40,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 21:02:57,SYSTEM,SERVER,ALL,Deepak joined the chat
2026-07-10 21:03:05,PRIVATE,Deepak,kunal,hi
2026-07-10 21:03:27,PRIVATE,kunal,Deepak,hi deepak
2026-07-10 21:03:33,BROADCAST,kunal,ALL,hey everyone
2026-07-10 21:03:55,BROADCAST,kunal,ALL,I need to go guys...bye
2026-07-10 21:03:57,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 21:39:12,SYSTEM,SERVER,ALL,Kunal joined the chat
2026-07-10 21:40:07,SYSTEM,SERVER,ALL,Deepak joined the chat
2026-07-10 21:40:28,SYSTEM,SERVER,ALL,Utkarsh joined the chat
2026-07-10 21:40:54,SYSTEM,SERVER,ALL,Karan joined the chat
2026-07-10 21:41:54,BROADCAST,Deepak,ALL,hello
2026-07-10 21:42:14,BROADCAST,Utkarsh,ALL,HI everyone
2026-07-10 21:42:27,BROADCAST,Karan,ALL,Hlo guys
2026-07-10 21:42:44,BROADCAST,Kunal,ALL,hello Bro
2026-07-10 21:43:25,PRIVATE,Kunal,Deepak,How are you?
